artist_song,like,bpm,energy,danceability,acousticness,camelot_sin,camelot_cos,camelot_AB,genre_기타,genre_댄스,genre_랩/힙합,genre_록/메탈,genre_발라드,genre_성인가요/트로트,genre_인디음악,genre_포크/블루스,target
NCT 127 삐그덕,197113,75,57,59.0,7.0,-1.0,-0.0,0,0,1,0,0,0,0,0,0,0
AKMU Hero,236011,136,43,66.0,62.0,0.87,0.5,1,0,0,0,0,0,0,0,1,0
트와이스 DIVE,172634,115,70,80.0,15.0,0.87,0.5,1,1,0,0,0,0,0,0,0,0
wave to earth annie.,36891,74,43,60.0,34.0,0.5,-0.87,0,0,0,0,0,0,0,1,0,0
잔나비 행운을 빌어요,156368,150,79,53.0,13.0,-0.5,-0.87,1,0,0,0,1,0,0,0,0,0
하현상 사랑이라고 말해줘,45790,73,34,63.0,78.0,-0.87,-0.5,1,0,0,0,1,0,0,0,0,0
태연 Letter To Myself,241638,153,67,57.0,4.0,0.87,0.5,1,0,0,0,1,0,0,0,0,0
"세븐틴 LOVE, MONEY, FAME",324680,100,70,87.0,4.0,-0.87,-0.5,1,0,1,0,0,0,0,0,0,0
세븐틴 MAESTRO,324680,152,84,68.0,8.0,-0.87,-0.5,0,0,1,0,0,0,0,0,0,0
이무진 청춘만화,70941,190,86,38.0,43.0,-0.87,-0.5,1,0,0,0,1,0,0,0,0,0
도경수 Mars,124275,101,46,84.0,25.0,-0.87,0.5,1,0,0,0,0,1,0,0,0,0
최예나 네모네모,34857,138,89,66.0,2.0,0.87,0.5,1,0,1,0,0,0,0,0,0,0
ITZY UNTOUCHABLE,64565,105,90,76.0,22.0,0.87,-0.5,0,0,1,0,0,0,0,0,0,0
STAYC Cheeky Icy Thang,55360,131,84,76.0,1.0,-1.0,-0.0,1,0,1,0,0,0,0,0,0,0
NMIXX DASH,49867,180,83,65.0,8.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0
tripleS Girls Never Die,13089,95,91,67.0,15.0,-1.0,-0.0,0,0,1,0,0,0,0,0,0,0
백현 Pineapple Slice,181481,99,76,63.0,5.0,-0.5,-0.87,1,0,0,0,0,0,0,0,0,0
LUCY 빌런,66771,95,93,52.0,11.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0
10CM 봄눈,184617,111,36,51.0,81.0,-0.87,0.5,1,0,0,0,0,1,0,0,0,0
로제 toxic till the end,70006,167,60,41.0,5.0,-0.87,-0.5,1,0,0,0,1,0,0,0,0,0
로이킴 내게 사랑이 뭐냐고 물어본다면,73554,130,52,37.0,59.0,0.87,0.5,1,0,0,0,0,1,0,0,0,0
로이킴 봄이 와도,73554,137,43,35.0,68.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0
존박 꿈처럼,27223,152,60,54.0,67.0,0.87,-0.5,1,0,0,0,0,0,0,0,0,0
영탁 슈퍼슈퍼,38962,170,90,57.0,1.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0
엔플라잉 Star,50972,136,85,58.0,1.0,-0.5,0.87,1,0,0,0,1,0,0,0,0,0
이승윤 역성,50857,160,81,31.0,0.0,-0.5,-0.87,1,0,0,0,1,0,0,0,0,0
다린 너에게,16163,130,51,81.0,70.0,0.87,-0.5,1,0,0,0,0,1,0,0,0,0
투모로우바이투게더 Over The Moon,164760,116,87,68.0,9.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0
하이라이트 BODY,69654,127,82,70.0,1.0,-0.5,-0.87,0,0,1,0,0,0,0,0,0,0
FIFTY FIFTY SOS,16010,124,78,80.0,9.0,1.0,0.0,1,0,1,0,0,0,0,0,0,0
소수빈 이러지도 못하고,21289,164,58,65.0,51.0,-0.5,0.87,0,0,0,0,0,0,0,0,0,0
"BOYNEXTDOOR EARTH, Wind&Fire",95844,153,89,66.0,2.0,-1.0,-0.0,0,0,1,0,0,0,0,0,0,0
BOYNEXTDOOR Nice Guy,95844,116,84,84.0,28.0,-0.87,-0.5,1,0,1,0,0,0,0,0,0,0
TWS 내가 S면 넌 나의 N이 되어줘,37390,118,78,62.0,3.0,-1.0,-0.0,1,0,1,0,0,0,0,0,0,0
이찬원 하늘 여행,29630,72,54,47.0,34.0,0.87,-0.5,1,0,0,0,0,0,1,0,0,0
G-Dragon HOME SWEET HOME,188940,150,75,63.0,0.0,0.87,0.5,0,0,0,1,0,0,0,0,0,0
윤하 태양물고기,121913,94,68,58.0,6.0,-0.87,0.5,1,0,0,0,1,0,0,0,0,0
MEOVV TOXIC,9130,115,55,83.0,10.0,-0.5,-0.87,1,0,0,1,0,0,0,0,0,0
최유리 오랜만이야,45384,107,29,47.0,95.0,-1.0,-0.0,1,0,0,0,0,1,0,0,0,0
도영 반딧불,50240,92,74,53.0,23.0,0.5,-0.87,1,0,0,0,1,0,0,0,0,0
적재 그리워,47287,120,62,54.0,62.0,-0.5,0.87,1,0,0,0,0,0,0,0,1,0
PLAVE Watch Me Woo!,86374,105,80,63.0,2.0,-0.87,-0.5,0,0,0,0,1,0,0,0,0,0
경서 시작,21480,155,69,37.0,19.0,0.0,-1.0,1,0,0,0,1,0,0,0,0,0
KISS OF LIFE Get Loud,36583,110,83,85.0,8.0,0.87,0.5,1,0,1,0,0,0,0,0,0,0
KISS OF LIFE Igloo,36583,140,61,92.0,17.0,-1.0,-0.0,0,0,0,1,0,0,0,0,0,0
비오 밤새,60226,204,80,43.0,37.0,1.0,0.0,1,0,0,1,0,0,0,0,0,0
비오 Criminal,60226,128,74,67.0,2.0,-0.5,-0.87,1,0,0,1,0,0,0,0,0,0
다이나믹 듀오 피타파,75912,105,93,78.0,10.0,0.5,0.87,1,0,0,1,0,0,0,0,0,0
ASH ISLAND OST,106681,152,78,52.0,43.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0
2am 청혼,8484,142,66,50.0,18.0,-0.5,0.87,1,0,0,0,0,1,0,0,0,0
있지 GOLD,64565,168,88,67.0,2.0,-1.0,-0.0,1,0,1,0,0,0,0,0,0,0
ph-1 FLAT COKE,71641,98,74,93.0,29.0,-0.87,-0.5,1,0,0,1,0,0,0,0,0,0
화사 Star,53447,142,37,59.0,74.0,-0.87,0.5,1,0,0,0,0,0,0,0,0,0
한요한 First Love,61341,176,82,33.0,19.0,0.87,-0.5,1,0,0,0,1,0,0,0,0,0
볼빨간사춘기 Bloom,256554,130,95,60.0,28.0,0.5,-0.87,1,0,0,0,0,0,0,1,0,0
청하 EENIE MEENIE,90050,100,72,82.0,18.0,0.87,0.5,1,0,1,0,0,0,0,0,0,0
전소미 Ice Cream,33313,126,78,80.0,2.0,-0.87,0.5,0,0,1,0,0,0,0,0,0,0
다비치 그걸 사랑이라고 말하지마,112586,131,43,44.0,51.0,-0.5,0.87,1,0,0,0,0,1,0,0,0,0
죠지 처음 보는 나,46808,130,34,36.0,75.0,-0.5,-0.87,1,0,0,0,0,1,0,0,0,0
너드커넥션 Freddy,23685,85,72,38.0,1.0,0.5,0.87,1,0,0,0,0,0,0,1,0,0
너드커넥션 Losing Myself,23685,164,67,51.0,0.0,-0.87,0.5,0,0,0,0,1,0,0,0,0,0
알레프 칫챗,21286,82,56,69.0,63.0,-0.87,-0.5,1,0,0,0,0,0,0,1,0,0
tripleS Hit the Floor,13089,103,88,69.0,1.0,-0.87,0.5,1,0,1,0,0,0,0,0,0,0
에픽하이 미슐랭,92744,90,61,91.0,11.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0
나얼 1993,49051,168,56,51.0,9.0,-0.87,0.5,1,0,0,0,0,0,0,0,0,0
이창섭 33,63523,155,88,51.0,2.0,0.5,-0.87,1,0,0,0,1,0,0,0,0,0
육성재 BE SOMEBODY,48730,155,87,57.0,9.0,0.0,-1.0,1,0,0,0,1,0,0,0,0,0
황가람 나는 반딧불,3712,147,40,44.0,78.0,-0.5,-0.87,0,0,0,0,0,1,0,0,0,0
로제 number one girl,70006,175,38,29.0,29.0,-0.87,-0.5,1,0,0,0,0,1,0,0,0,0
임영웅 온기,147431,171,23,35.0,79.0,0.0,-1.0,1,0,1,0,0,0,0,0,0,0
오반 위태로울걸,39001,85,66,58.0,64.0,-0.87,0.5,0,0,0,1,0,0,0,0,0,0
LUCY 낙화,66771,95,74,50.0,37.0,-0.87,0.5,1,0,0,0,1,0,0,0,0,0
나상현씨밴드 CLOVER,11300,102,75,64.0,6.0,-0.5,0.87,0,0,0,0,0,0,0,1,0,0
스트레이 키즈 Chk Chk Boom,91215,102,74,93.0,17.0,-1.0,-0.0,1,0,0,1,0,0,0,0,0,0
Cravity Love or Die,19947,174,95,48.0,4.0,0.0,1.0,1,0,1,0,0,0,0,0,0,0
홍진영 봄,19400,172,59,36.0,54.0,0.87,0.5,1,0,0,0,0,0,1,0,0,0
